#
#  yeastcyc 22.6 Reactions link table generated on Tue Nov 20, 2018
#
1.3.1.71-RXN	EC-1.3.1.71
1.2.1.9-RXN	EC-1.2.1.9
1.2.1.65-RXN	EC-1.2.1.65
1.2.1.2-RXN	EC-1.17.1.9
1.13.11.6-RXN	EC-1.13.11.6
1.11.1.15-RXN	EC-1.11.1.15
1.11.1.12-RXN	EC-1.11.1.12
1.1.3.37-RXN	EC-1.1.3.37
1.1.1.8-RXN	EC-1.1.1.8
1.1.1.39-RXN	EC-1.1.1.38	EC-1.1.1.39
1.1.1.34-RXN	EC-1.1.1.34
1.1.1.283-RXN	EC-1.1.1.283
1.1.1.265-RXN	EC-1.1.1.265
1.1.1.211-RXN	EC-1.1.1.211
1.1.1.190-RXN	EC-1.1.1.190
1.1.1.117-RXN	EC-1.1.1.117
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	EC-2.7.1.67
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	EC-2.7.1.137
RXN0-7005	
RXN0-6490	
RXN0-5244	
RXN0-5248	
RXN0-5259	
RXN0-5253	
RXN0-5254	
RXN-924	
RXN-15468	
RXN0-5257	
RXN-15815	
RXN0-5265	
RXN0-5245	
RXN0-5244-yeast	
THIOREDOXIN-RXN	
RXN0-947	EC-2.3.1.181
RXN-9651	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.41
RXN-9532	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-7101	
RXN-16759	EC-2.7.8.7
RXN-14955	EC-2.3.1
RXN-11480	EC-1.1.1.100
METHCOCLTH-RXN	EC-2.1.1.258
3-OXOACYL-ACP-SYNTH-BASE-RXN	EC-2.3.1.179	EC-2.3.1.41	EC-2.3.1.85	EC-2.3.1.86
1.8.4.12-RXN	EC-1.8.4.12
RXN3O-9780	EC-2.3.1
RXN0-723	EC-1.1.98.6
RXN-9634	EC-2.3.1.86	EC-4.2.1.59
RXN-9526	EC-1.3.1.10	EC-1.3.1.39	EC-2.3.1.85	EC-2.3.1.86
RXN-18344	
RXN-14391	EC-3.6.4
RXN-11195	EC-1.6.2.2
L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN	EC-1.1.2.3
BIOTINLIG-RXN	EC-6.3.4.15
2OXOGLUTDECARB-RXN	EC-1.2.4.2
RXN3O-1803	EC-2.3.1.179	EC-2.3.1.41	EC-2.3.1.86
RXN0-5055	EC-2.1.3.15
RXN-9556	EC-1.1.1.100
RXN-9520	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-18341	
RXN-15512	
RXN-10061	EC-4.2.1.59
HISTONE-ACETYLTRANSFERASE-RXN	EC-2.3.1.48
ADPREDUCT-RXN	EC-1.17.4.1
2.7.11.25-RXN	EC-2.7.11.25
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	EC-2.3.1.51
RXN1G-469	EC-1.1.1.100
RXN-9542	EC-1.3.1.10	EC-2.3.1.86	EC-1.3.1.39	EC-2.3.1.85
RXN-9515	EC-1.3.1.10	EC-1.3.1.39	EC-2.3.1.85	EC-2.3.1.86
RXN-17862	EC-2.3.1.255
RXN-15509	
RXN-13685	EC-1.18.1.6
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	EC-1.17.4.1
GDPREDUCT-RXN	EC-1.17.4.1
4.2.1.59-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN1G-349	EC-1.1.1.100
RXN-9655	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-9537	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-8629	EC-1.8.1.4
RXN-17859	EC-2.3.1.255
RXN-14972	
RXN-12994	EC-1.1.1.330
PROTEIN-TYROSINE-PHOSPHATASE-RXN	EC-3.1.3.48
GAMMA-GLUTAMYLTRANSFERASE-RXN	EC-2.3.2.2
3.4.11.1-RXN	EC-3.4.11.9	EC-3.4.11.1
2.3.2.15-RXN	EC-2.3.2.15
UBIQUITIN--PROTEIN-LIGASE-RXN	EC-6.2.1.45
RXN0-949	EC-2.8.1.8
RXN-9652	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.41
RXN-9533	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-7667	EC-2.4.1.186
RXN-17019	EC-2.3.1.51
RXN-14957	EC-2.8.1.8
RXN-11726	EC-1.3.1.86
NADPH--FERRIHEMOPROTEIN-REDUCTASE-RXN	EC-1.6.2.4
CYTOCHROME-C-PEROXIDASE-RXN	EC-1.11.1.5
3-OXOACYL-ACP-SYNTH-RXN	EC-2.3.1.179	EC-2.3.1.41	EC-2.3.1.85	EC-2.3.1.86
1.8.4.8-RXN	EC-1.8.4.8
RXN66-336	EC-2.3.2.2
RXN0-724	EC-1.1.98.6
RXN-9648	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.41
RXN-9528	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-18705	EC-2.8.1
RXN-16757	
RXN-14950	EC-2.8.1.8
RXN-11200	EC-3.4.11
MALONYL-COA-ACP-TRANSACYL-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.39
CDPREDUCT-RXN	EC-1.17.4.1
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
1.5.5.1-RXN-YEAST	EC-1.5.5.1
RXN3O-5293	EC-2.3.1.86	EC-1.3.1.10
RXN0-5468	EC-1.11.1.15
RXN-9557	EC-4.2.1.59
RXN-9521	EC-1.3.1.10	EC-1.3.1.39	EC-2.3.1.85	EC-2.3.1.86
RXN-18342	
RXN-16425	
RXN-14387	
RXN-10659	EC-1.1.1.100
HOLO-ACP-SYNTH-RXN	EC-2.7.8.7
2.7.12.1-RXN	EC-2.7.11.11	EC-2.7.12.1
RXN1G-508	EC-1.1.1.100
RXN-9549	EC-3.1.2.14
RXN-9516	EC-2.3.1.179	EC-2.3.1.41
RXN-17863	EC-2.3.1.255
RXN-15510	
RXN-14381	
RNA-POLYMERASE-SUBUNIT-KINASE-RXN	EC-2.7.11.23
GLY-X-CARBOXYPEPTIDASE-RXN	EC-3.4.17.4
4.2.1.61-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
2.7.11.2-RXN	EC-2.7.11.2
RXN1G-358	EC-1.1.1
RXN-982	EC-1.20.4.1
RXN-9538	EC-1.3.1.10	EC-1.3.1.39	EC-2.3.1.85	EC-2.3.1.86
RXN-8668	EC-1.8.4.11
RXN-17860	EC-2.3.1.255
RXN-14973	
RXN-13008	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
PYROGLUTAMYL-PEPTIDASE-I-RXN	EC-3.4.19.3
GCVP-RXN	EC-1.4.4.2
3.5.1.98-RXN	EC-3.5.1.98
2.4.1.109-RXN	EC-2.4.1.109
UDPREDUCT-RXN	EC-1.17.4.1
RXN1G-157	EC-1.1.1.100
RXN-9653	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.41
RXN-9534	EC-1.3.1.10	EC-1.3.1.39	EC-2.3.1.85	EC-2.3.1.86
RXN-7716	EC-1.8.1.4
RXN-17021	EC-2.3.1.51
RXN-14958	EC-2.3.1
RXN-12488	EC-3.4.11.26
PRODISULFREDUCT-A-RXN	
D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN	EC-1.1.2.4
3.1.2.21-RXN	EC-3.1.2.21
2.1.1.63-RXN	EC-2.1.1.63
THIOREDOXIN-REDUCT-NADPH-RXN	EC-1.8.1.9
RXN0-7271	
RXN-9650	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.41
